model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
HF,1,1,512,15.345782041549683,15345.3154296875,,
HF,1,8,512,15.397703886032104,15397.2763671875,,
HF,1,64,512,13.946080446243286,13945.494140625,,
HF,1,512,2048,48.30655646324158,48305.984375,,
HF,2,1,512,16.445772886276245,16445.421875,,
HF,2,8,512,16.25209140777588,16251.7021484375,,
HF,2,64,512,14.446904182434082,14446.5732421875,,
HF,2,512,2048,53.60546255111694,53604.8671875,,
HF_DS,1,1,512,5.490875482559204,5490.5673828125,,
HF_DS,1,8,512,5.4197680950164795,5419.47216796875,,
HF_DS,1,64,512,4.824952602386475,4824.65576171875,,
HF_DS,1,512,2048,17.470508337020874,17470.1640625,,
HF_DS,2,1,512,5.616046905517578,5615.7734375,,
HF_DS,2,8,512,5.541999101638794,5541.70556640625,,
HF_DS,2,64,512,4.947568655014038,4947.21240234375,,
HF_DS,2,512,2048,18.709134578704834,18708.650390625,,
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
LLAMA_turbo,1,1,512,14.361831426620483,14361.300979614258,333.9847717285156,27.50454158408969
LLAMA_turbo,1,8,512,14.19471025466919,14192.935930252075,396.7764587402344,27.427752428452965
LLAMA_turbo,1,64,512,12.336456537246704,12335.106046676636,31.961088180541992,27.523814224823475
LLAMA_turbo,1,512,2048,42.236806869506836,42235.38485145569,48.33689498901367,27.48341886414767
LLAMA_turbo,2,1,512,14.605623483657837,14603.823108673096,28.295167922973633,28.579466550490434
LLAMA_turbo,2,8,512,14.284711837768555,14283.768852233887,28.173311233520508,28.341144216700528
LLAMA_turbo,2,64,512,12.760359764099121,12759.321613311768,31.092735290527344,28.474784962016198
LLAMA_turbo,2,512,2048,43.812726736068726,43811.61677932739,77.44000244140625,28.49132037582149
LLAMA_official,1,1,512,13.402244567871094,13401.877500534058,27.440128326416016,26.224387004328708
LLAMA_official,1,8,512,13.203957080841064,13203.274744033813,28.280832290649414,26.192830838455595
LLAMA_official,1,64,512,11.728264808654785,11727.62420463562,27.809791564941406,26.174081461008228
LLAMA_official,1,512,2048,40.24703121185303,40246.14806365967,48.7454719543457,26.187232958765684
LLAMA_official,2,1,512,14.1932053565979,14191.920127868652,28.15283203125,27.772092736936084
LLAMA_official,2,8,512,13.998954057693481,13998.085111618042,29.131776809692383,27.77127899564284
LLAMA_official,2,64,512,12.431968450546265,12431.344648361206,28.447744369506836,27.746972939578747
LLAMA_official,2,512,2048,42.828349351882935,42827.353174209595,92.24089813232422,27.84046402350311
LLAMA_single,1,1,512,13.257293224334717,13256.812520980835,26.042367935180664,25.94268657459932
LLAMA_single,1,8,512,13.03337287902832,13032.37327003479,30.052352905273438,25.849544566857887
LLAMA_single,1,64,512,11.563700437545776,11562.763271331787,28.419071197509766,25.803902013723217
LLAMA_single,1,512,2048,39.560462951660156,39559.48447036743,52.536319732666016,25.737425505299523
LLAMA_single,2,1,512,13.857759952545166,13856.163829803467,27.54355239868164,27.11494172040154
LLAMA_single,2,8,512,13.673531532287598,13672.767490386963,29.20243263244629,27.124383812633234
LLAMA_single,2,64,512,12.166034936904907,12165.34937286377,32.39116668701172,27.14308323529476
LLAMA_single,2,512,2048,44.82659292221069,44825.30920410156,95.73887634277344,29.139785229810286
HF,1,1,512,15.78966474533081,15789.263671875,,
HF,1,8,512,15.463842630386353,15463.2978515625,,
HF,1,64,512,13.73932671546936,13738.9814453125,,
HF,1,512,2048,48.35402774810791,48353.34765625,,
HF,2,1,512,16.590709924697876,16590.09765625,,
HF,2,8,512,16.23652672767639,16235.982421875,,
HF,2,64,512,14.35763144493103,14357.0859375,,
HF,2,512,2048,52.45174527168274,52451.04296875,,
HF_DS,1,1,512,5.51448130607605,5514.06494140625,,
HF_DS,1,8,512,5.429622411727905,5429.220703125,,
HF_DS,1,64,512,4.82961893081665,4829.09423828125,,
HF_DS,1,512,2048,17.471115589141846,17470.61328125,,
HF_DS,2,1,512,5.617218971252441,5616.716796875,,
HF_DS,2,8,512,5.548482179641724,5548.09375,,
HF_DS,2,64,512,4.947468042373657,4947.013671875,,
HF_DS,2,512,2048,18.70298957824707,18702.49609375,,
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
LLAMA_turbo,4,1,512,14.534959554672241,14534.541303634644,27.74630355834961,28.444696078580968
LLAMA_turbo,4,8,512,14.346859693527222,14344.887289047241,28.678144454956055,28.46164839879182
LLAMA_turbo,4,64,512,12.694945096969604,12693.587978363037,36.33561706542969,28.31600080827205
LLAMA_turbo,4,512,2048,44.00976514816284,44008.39167404175,143.9129638671875,28.576207628778214
LLAMA_turbo,16,1,512,14.895699977874756,14892.650489807129,28.578815460205078,29.14523857715083
LLAMA_turbo,16,8,512,14.323233604431152,14321.469430923462,32.74854278564453,28.406999777609975
LLAMA_turbo,16,64,512,12.657387971878052,12656.517101287842,75.40121459960938,28.145673124582174
LLAMA_turbo,16,512,2048,44.13400077819824,44132.6561088562,533.0032348632812,28.403682654067048
LLAMA_turbo,64,1,512,14.589123964309692,14585.622539520264,28.917760848999023,28.5425583895515
LLAMA_turbo,64,8,512,13.973583459854126,13972.559879302979,51.394561767578125,27.676272997088272
LLAMA_turbo,64,64,512,12.800199270248413,12799.18081855774,269.9161682128906,28.029674832986238
LLAMA_turbo,64,512,2048,44.9928503036499,44990.627756118774,2118.141845703125,27.929958247827784
LLAMA_official,4,1,512,14.178399562835693,14176.816139221191,27.683839797973633,27.74339666553572
LLAMA_official,4,8,512,13.953146934509277,13952.418827056885,27.686912536621094,27.68336364715758
LLAMA_official,4,64,512,12.395312309265137,12394.524667739868,29.228031158447266,27.662856010249264
LLAMA_official,4,512,2048,44.81442308425903,44813.44818305969,177.7059783935547,29.078659416720612
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
LLAMA_turbo,4,1,512,50.32944297790527,50328.25345993042,31.684608459472656,98.62072323817833
LLAMA_turbo,4,8,512,14.430417776107788,14428.320756912231,41.073665618896484,28.602876921060307
LLAMA_turbo,4,64,512,12.834840536117554,12833.256465911865,35.32697677612305,28.630714740795845
LLAMA_turbo,4,512,2048,44.33746600151062,44335.795221328735,144.91647338867188,28.788846089863235
LLAMA_turbo,16,1,512,15.034688234329224,15031.645181655884,28.719104766845703,29.417502111547133
LLAMA_turbo,16,8,512,14.51773738861084,14516.22192955017,33.277950286865234,28.793129183426053
LLAMA_turbo,16,64,512,12.879810810089111,12878.7619972229,75.79853057861328,28.641976435445834
LLAMA_turbo,16,512,2048,45.19975185394287,45198.092277526855,533.7896728515625,29.097265540505077
LLAMA_turbo,64,1,512,14.251299619674683,14247.771127700806,29.338623046875,27.87927942089006
LLAMA_turbo,64,8,512,14.04569959640503,14044.576749801636,47.19411087036133,27.827798486940903
LLAMA_turbo,64,64,512,13.104553461074829,13103.364124298096,268.24090576171875,28.713922189119412
LLAMA_turbo,64,512,2048,45.24957013130188,45247.61808013916,2117.601318359375,28.097730789433086
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
LLAMA_official,4,1,512,14.335937023162842,14335.1346950531,27.982847213745117,28.05323891733207
LLAMA_official,4,8,512,14.085893392562866,14084.903942108154,29.873151779174805,27.942407137830973
LLAMA_official,4,64,512,13.141026735305786,13140.380685806274,739.3341674804688,27.74283337433066
LLAMA_official,4,512,2048,45.14410734176636,45143.30520439148,184.3251190185547,29.289237840633827
LLAMA_official,16,1,512,14.769917249679565,14768.688116073608,27.717632293701172,28.90386369368609
LLAMA_official,16,8,512,14.606263637542725,14604.996603012085,32.67891311645508,28.970810516691113
LLAMA_official,16,64,512,13.056732177734375,13055.721488952637,81.20626831054688,29.025761120004674
LLAMA_official,16,512,2048,99.33284568786621,99331.48992538452,687.0497436523438,64.26347894575386
LLAMA_single,4,1,512,13.815438032150269,13814.923257827759,26.91993522644043,27.035300632551603
LLAMA_single,4,8,512,13.678086996078491,13676.952587127686,28.91980743408203,27.133265963605574
LLAMA_single,4,64,512,12.11598539352417,12114.849800109863,34.872318267822266,27.024558124926266
LLAMA_single,4,512,2048,53.72684693336487,53725.88339996338,179.58399963378906,34.88358267122449
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
LLAMA_single,4,1,512,13.817012548446655,13816.46953010559,27.1144962310791,27.03795104681277
LLAMA_single,4,8,512,13.54508090019226,13544.342531204224,29.882368087768555,26.867714041981024
LLAMA_single,4,64,512,12.064054012298584,12063.388689041138,34.89382553100586,26.909384482125574
LLAMA_single,4,512,2048,53.84777855873108,53846.841381073,179.49798583984375,34.962438693962966
LLAMA_single,16,1,512,17.008872985839844,17007.691785812378,27.95827293395996,33.29359512329101
LLAMA_single,16,8,512,16.83192253112793,16831.230978012085,32.3686408996582,33.3973406304422
LLAMA_single,16,64,512,15.359785556793213,15359.126495361328,84.8506851196289,34.17063939651387
LLAMA_single,16,512,2048,112.90513706207275,112903.74337387085,690.2210693359375,73.10327185963186
HF,4,1,512,16.16127848625183,16160.89453125,,
HF,4,8,512,15.9426851272583,15942.322265625,,
HF,4,64,512,14.192991256713867,14192.6123046875,,
HF,4,512,2048,59.07983183860779,59079.09765625,,
HF,16,1,512,18.82226037979126,18821.810546875,,
HF,16,8,512,18.572908878326416,18572.509765625,,
HF,16,64,512,16.84270215034485,16842.296875,,
HF,16,512,2048,112.68327903747559,112682.0234375,,
HF,64,1,512,30.031644344329834,30029.5,,
HF,64,8,512,29.703081846237183,29702.10546875,,
HF,64,64,512,28.214171648025513,28212.9765625,,
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
HF,4,1,512,16.65148425102234,16651.068359375,,
HF,4,8,512,16.24290919303894,16242.515625,,
HF,4,64,512,14.454254388809204,14453.8798828125,,
HF,4,512,2048,62.46381497383118,62463.15234375,,
HF,16,1,512,19.10400938987732,19103.505859375,,
HF,16,8,512,18.782521963119507,18782.05859375,,
HF,16,64,512,17.110295295715332,17109.921875,,
HF,16,512,2048,141.60192942619324,141600.765625,,
HF_DS,4,1,512,5.755208492279053,5754.828125,,
HF_DS,4,8,512,5.720325469970703,5719.90966796875,,
HF_DS,4,64,512,5.110909700393677,5110.22802734375,,
HF_DS,4,512,2048,19.558701515197754,19558.232421875,,
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
HF_DS,4,1,512,5.7805633544921875,5780.2314453125,,
HF_DS,4,8,512,5.697254419326782,5696.8115234375,,
HF_DS,4,64,512,5.084306240081787,5083.92919921875,,
HF_DS,4,512,2048,20.076035737991333,20075.595703125,,
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
HF,16,1,512,21.712629556655884,21712.201171875,,
HF,16,8,512,18.8722984790802,18871.87890625,,
HF,16,64,512,17.172882795333862,17172.466796875,,
HF,16,512,2048,138.4265580177307,138425.4375,,
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
HF,16,1,512,21.895192623138428,21894.7109375,,
HF,16,8,512,19.050565242767334,19050.087890625,,
HF,16,64,512,17.152984380722046,17152.376953125,,
HF,16,512,2048,139.36336374282837,139362.15625,,
HF,64,1,512,30.111743927001953,30110.876953125,,
HF,64,8,512,29.820016860961914,29819.25390625,,
HF,64,64,512,28.46662974357605,28465.9765625,,
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
HF_DS,1,1,512,10.693181276321411,10692.7802734375,,
HF_DS,1,8,512,10.435168266296387,10434.701171875,,
HF_DS,1,64,512,9.276183366775513,9275.7744140625,,
HF_DS,1,512,2048,32.77548384666443,32774.9765625,,
HF_DS,4,1,512,10.932010889053345,10931.650390625,,
HF_DS,4,8,512,10.795969724655151,10795.6025390625,,
HF_DS,4,64,512,9.653464555740356,9653.0703125,,
HF_DS,4,512,2048,35.87583947181702,35875.3046875,,
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
LLAMA_official,4,1,512,39.39247179031372,39391.868896484375,83.19692993164062,77.07582738539752
LLAMA_official,4,1,512,39.392184019088745,39391.605728149414,82.96038055419922,77.07577519136316
LLAMA_official,4,8,512,39.75626564025879,39755.05716705322,93.95507049560547,78.84910953589984
LLAMA_official,4,8,512,39.756227254867554,39755.03468322754,93.57516479492188,78.84982011616823
LLAMA_official,4,64,512,34.57098436355591,34569.882652282715,95.68768310546875,77.12347867824887
LLAMA_official,4,64,512,34.57111573219299,34569.834533691406,95.61907196044922,77.12352452288805
LLAMA_official,4,512,2048,133.71318912506104,133711.79207611084,242.4944610595703,86.95068248537542
LLAMA_official,4,512,2048,133.71316480636597,133711.6181716919,242.1227569580078,86.9508113451035
LLAMA_official,16,1,512,42.426478147506714,42425.00609588623,71.49158477783203,83.04610688452627
LLAMA_official,16,1,512,42.4262912273407,42424.16743469238,70.58124542236328,83.04624742994122
LLAMA_official,16,8,512,42.28601384162903,42284.88185882568,85.24800109863281,83.89589236128639
LLAMA_official,16,8,512,42.28506636619568,42283.89586639404,84.27315521240234,83.89587020115634
LLAMA_official,16,64,512,38.3014817237854,38300.23375701904,146.95834350585938,85.35408369913463
LLAMA_official,16,64,512,38.30244827270508,38300.31154632568,147.06381225585938,85.35402177644256
LLAMA_official,16,512,2048,175.63271689414978,175630.7066192627,749.2556762695312,113.92928400194994
LLAMA_official,16,512,2048,175.63294053077698,175631.02110290527,749.3416748046875,113.92943285218279
